                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7144,                 3.8844,                 1.0404,                0.00208,                0.04065,                0.00114,                0.00067,                 1.4087,                 4.0438,                0.94955,                  8e-05,                  8e-05,                  8e-05
                      1,                 1.6125,                 3.1197,                0.93571,                0.01292,                0.25203,                0.01081,                0.00483,                 1.5803,                  3.744,                0.89229,             0.00017644,             0.00017644,             0.00017644
                      2,                  1.713,                 2.0743,                0.90822,                0.01667,                 0.3252,                 0.0146,                0.00626,                 1.6731,                 3.4809,                0.89307,             0.00026891,             0.00026891,             0.00026891
                      3,                 1.4973,                 1.4507,                0.91845,                 0.0125,                 0.2439,                0.00939,                0.00435,                 1.6175,                 3.4343,                0.88459,             0.00035743,             0.00035743,             0.00035743
                      4,                 1.6561,                 1.4533,                0.92396,                0.01667,                 0.3252,                 0.0132,                0.00796,                 1.5102,                 3.2732,                0.88379,             0.00044198,             0.00044198,             0.00044198
                      5,                 1.5922,                 1.5746,                0.90218,                0.01833,                0.35772,                0.01474,                0.00815,                 1.4895,                 3.2702,                0.88487,             0.00052258,             0.00052258,             0.00052258
                      6,                 1.5322,                  1.365,                0.90049,                   0.02,                0.39024,                0.01659,                0.00976,                 1.4266,                 3.2193,                0.87659,             0.00059922,             0.00059922,             0.00059922
                      7,                  1.428,                 1.3369,                0.88599,                0.01958,                0.38211,                0.01548,                0.01005,                 1.3282,                 3.2322,                0.86449,             0.00067189,             0.00067189,             0.00067189
                      8,                 1.4308,                 1.2148,                0.88405,                  0.015,                0.29268,                0.01786,                0.01137,                 1.3583,                 3.3087,                0.87025,             0.00074061,             0.00074061,             0.00074061
                      9,                 1.4198,                 1.1702,                0.90357,                0.01333,                0.26016,                0.01013,                0.00624,                 1.4232,                 3.4512,                0.87384,             0.00080536,             0.00080536,             0.00080536
                     10,                 1.4359,                 1.1349,                0.88963,                0.01625,                0.31707,                 0.0198,                0.01311,                 1.3238,                 3.2026,                0.86872,             0.00086616,             0.00086616,             0.00086616
                     11,                 1.3065,                  1.168,                0.89453,                0.01708,                0.33333,                0.05546,                0.03943,                 1.3922,                 3.0892,                0.87991,               0.000923,               0.000923,               0.000923
                     12,                 1.5413,                 1.1733,                0.90878,                0.01792,                0.34959,                0.09049,                0.05988,                 1.4396,                 3.0989,                0.88334,             0.00097587,             0.00097587,             0.00097587
                     13,                 1.4168,                 1.1947,                0.89491,                      1,                0.06723,                0.19008,                 0.1329,                 1.3954,                 2.8761,                0.88735,              0.0010248,              0.0010248,              0.0010248
                     14,                 1.4506,                 1.0971,                0.89903,                0.90146,                0.14884,                0.33305,                0.22894,                 1.2862,                 2.2532,                0.87683,              0.0010697,              0.0010697,              0.0010697
                     15,                 1.1825,                0.98035,                0.86781,                0.94433,                0.13792,                0.32201,                0.21602,                 1.3517,                 2.3676,                0.87728,              0.0011107,              0.0011107,              0.0011107
                     16,                 1.2556,                0.99735,                0.88616,                      1,                0.12468,                0.30974,                0.19165,                 1.4498,                  2.367,                0.88991,              0.0011478,              0.0011478,              0.0011478
                     17,                 1.3107,                 1.0944,                0.88163,                0.96361,                0.21538,                0.35898,                0.21998,                 1.4076,                 2.2339,                0.87966,              0.0011809,              0.0011809,              0.0011809
                     18,                 1.4259,                 1.0735,                0.86445,                0.97046,                0.26713,                0.38228,                0.25383,                 1.3257,                 2.1333,                0.86654,                0.00121,                0.00121,                0.00121
                     19,                 1.3236,                 1.0576,                 0.8707,                0.94497,                0.27925,                0.36255,                0.22135,                 1.3682,                 2.0579,                0.87798,              0.0012351,              0.0012351,              0.0012351
                     20,                 1.4306,                 1.0781,                0.89987,                0.89965,                0.29157,                0.36391,                0.22879,                 1.4181,                 1.9125,                0.88801,               0.001208,               0.001208,               0.001208
                     21,                 1.2826,                 0.9969,                0.88372,                0.78881,                0.28455,                0.36091,                0.23588,                 1.4062,                 1.8587,                  0.884,               0.001208,               0.001208,               0.001208
                     22,                 1.4164,                 1.1705,                0.86855,                0.66488,                0.32264,                0.37845,                0.25031,                 1.3284,                  1.721,                0.87282,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.3921,                 1.0557,                0.86956,                 0.7014,                0.34146,                0.40681,                0.24658,                 1.2983,                 1.4777,                0.86958,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.2376,                0.96806,                0.87788,                0.73127,                0.34959,                0.40249,                0.24074,                 1.3171,                  1.459,                 0.8711,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.2746,                  1.138,                0.87433,                 0.6626,                0.36724,                0.41621,                0.27273,                 1.3272,                 1.3977,                0.86622,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.3617,                0.94947,                0.87914,                0.69684,                 0.4065,                 0.4337,                0.28807,                 1.2973,                 1.3075,                0.86398,                0.00101,                0.00101,                0.00101
                     27,                 1.1773,                0.86716,                0.86303,                0.74193,                0.42075,                0.44401,                0.26924,                 1.3206,                 1.1776,                0.86794,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.2877,                 1.1155,                 0.8776,                0.71101,                 0.4065,                0.43739,                0.28528,                 1.2874,                 1.2484,                0.86218,              0.0009308,              0.0009308,              0.0009308
                     29,                  1.207,                0.92749,                0.85918,                0.78331,                0.33333,                0.42363,                0.28826,                 1.2478,                 1.4338,                0.86004,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.1491,                0.95383,                0.87377,                0.67997,                0.38211,                0.42397,                0.28936,                 1.2383,                 1.3857,                0.86129,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.3167,                0.99309,                0.87418,                 0.6309,                0.37398,                0.41264,                0.26008,                 1.3611,                 1.2518,                   0.89,               0.000812,               0.000812,               0.000812
                     32,                  1.277,                 1.0228,                0.86479,                0.68964,                0.39746,                0.44576,                0.27503,                 1.2831,                 1.2351,                0.87031,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.1809,                0.86543,                0.85398,                0.65542,                0.41463,                0.44943,                0.29167,                 1.2192,                 1.1562,                0.85285,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.3883,                0.97648,                0.85631,                0.64309,                0.41463,                 0.4408,                0.29856,                 1.2064,                 1.0914,                 0.8487,              0.0006932,              0.0006932,              0.0006932
                     35,                  1.204,                0.99502,                0.85843,                0.71566,                0.39837,                0.44449,                 0.2961,                 1.2252,                 1.0854,                0.85353,              0.0006536,              0.0006536,              0.0006536
                     36,                  1.158,                0.82748,                0.84788,                0.65479,                0.39024,                0.44967,                0.29359,                 1.2092,                 1.1037,                0.85308,               0.000614,               0.000614,               0.000614
                     37,                  1.209,                 0.9204,                0.85134,                0.81165,                0.36585,                0.43715,                0.29325,                 1.1853,                 1.1375,                0.85028,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.3162,                 1.0359,                0.84939,                0.73513,                0.36585,                 0.4318,                0.29199,                  1.188,                 1.1324,                0.85006,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.1167,                0.79947,                 0.8513,                0.59192,                0.42276,                0.43866,                0.29673,                 1.1573,                 1.0656,                0.84537,              0.0004952,              0.0004952,              0.0004952
                     40,                  1.127,                0.91414,                0.84105,                0.62263,                0.42276,                0.43668,                0.29372,                 1.1499,                 1.0637,                0.84314,              0.0004556,              0.0004556,              0.0004556
                     41,                  1.225,                 1.2477,                0.84915,                0.63481,                0.42276,                0.43101,                0.28834,                 1.1647,                 1.0804,                0.84342,               0.000416,               0.000416,               0.000416
                     42,                 1.1496,                0.90919,                0.85311,                0.65921,                0.42463,                 0.4359,                0.28201,                 1.2009,                 1.1021,                0.84683,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.0635,                0.83661,                0.86066,                0.73712,                0.39837,                0.43899,                0.28659,                 1.2588,                 1.0753,                0.85366,              0.0003368,              0.0003368,              0.0003368
                     44,                  1.061,                0.83753,                0.84954,                0.71946,                0.39837,                0.44373,                0.29797,                 1.2513,                 1.0439,                0.85364,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.0377,                 0.7744,                0.85613,                0.70595,                0.42276,                0.45108,                0.30364,                 1.2345,                 1.0184,                0.85289,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.0101,                 0.7339,                0.84396,                0.73138,                0.42061,                 0.4567,                0.30992,                 1.2313,                  1.011,                0.85323,               0.000218,               0.000218,               0.000218
                     47,                 1.0855,                0.93113,                0.84624,                0.70034,                0.43089,                0.46017,                0.31259,                  1.209,                 1.0166,                0.85119,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.1518,                 0.8845,                0.85379,                0.69959,                0.43089,                0.46012,                 0.3121,                 1.2087,                 1.0132,                 0.8507,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.0973,                0.81822,                0.84473,                0.71126,                0.44061,                0.46844,                0.31205,                 1.2125,                 1.0092,                0.85087,               9.92e-05,               9.92e-05,               9.92e-05
